latitude,longitude,temperatura,local
-21.762,-43.3477,28.8,Centro (Praça da Estação)
-21.7625,-43.351,28.6,Av. Getúlio Vargas
-21.7369,-43.3629,27.2,Bom Pastor
-21.728,-43.367,25.5,Manoel Honório
-21.758,-43.332,26.0,São Mateus
-21.755,-43.3555,28.8,Granbery
-21.76,-43.335,28.5,Alto dos Passos
-21.785,-43.34,26.0,Poço Rico
-21.75,-43.32,17.9,Santa Cruz
-21.742,-43.37,26.9,Marumbi
-21.76,-43.355,28.5,Igrejinha
-21.77,-43.36,18.0,Vila Ideal
-21.775,-43.355,28.9,Jardim Glória
-21.75,-43.375,26.4,Teixeiras
-21.746,-43.383,28.5,São Pedro
-21.735,-43.355,25.7,Linhares
-21.755,-43.395,18.7,Bandeirantes
-21.795,-43.36,29.5,Grama
-21.785,-43.385,26.1,Cascatinha
-21.79,-43.375,18.4,Vale do Ipê
-21.728,-43.38,19.1,Parque Mariano Procópio
-21.77,-43.369,28.5,Campus UFJF (Martelos)
-21.748,-43.348,29.4,Morro do Imperador
-21.794,-43.376,18.2,Aeroporto da Zona da Mata
