latitude,longitude,temperatura,local
-23.5505,-46.6333,32.8,Centro (Praça da Sé)
-23.5558,-46.6396,32.6,Av. Paulista
-23.5629,-46.6544,33.2,Vila Madalena
-23.558,-46.635,32.5,Liberdade
-23.561,-46.648,33.0,Bela Vista
-23.57,-46.618,30.8,Cambuci
-23.5975,-46.6685,32.5,Moema
-23.567,-46.6825,28.0,Pinheiros
-23.589,-46.635,30.4,Vila Mariana
-23.615,-46.685,30.9,Brooklin
-23.6,-46.7,27.5,Morumbi
-23.54,-46.577,30.5,Tatuapé
-23.505,-46.625,28.9,Santana
-23.571,-46.708,28.4,Butantã
-23.535,-46.455,30.5,Itaquera
-23.765,-46.695,30.7,Grajaú
-23.5874,-46.6576,28.2,Parque Ibirapuera
-23.558,-46.728,28.5,Cidade Universitária (USP)
-23.582,-46.47,22.6,Parque do Carmo
-23.69,-46.695,27.9,Interlagos
